movie_id,imdb_id,tmdb_id,rating,average_rating,title
1101,0092099,744,2.5,3.41642,Top Gun (1986)
1129,0082340,1103,4.0,3.39506,Escape from New York (1981)
1136,0071853,762,4.5,4.13737,Monty Python and the Holy Grail (1975)
1185,0097937,10161,4.5,3.87076,My Left Foot: The Story of Christy Brown (1989)
1196,0080684,1891,4.5,4.1204,The Empire Strikes Back (1980)
1198,0082971,85,4.5,4.10246,Raiders of the Lost Ark (1981)
1200,0090605,679,4.0,4.00371,Aliens (1986)
1201,0060196,429,4.5,4.13308,"The Good, the Bad and the Ugly (1966)"
1204,0056172,947,4.5,4.11548,Lawrence of Arabia (1962)
1208,0078788,28,3.5,4.11601,Apocalypse Now (1979)
1209,0064116,335,4.5,4.11552,Once Upon a Time in the West (1968)
1210,0086190,1892,4.5,3.9822,Return of the Jedi (1983)
1214,0078748,348,4.0,4.0663,Alien (1979)
1215,0106308,766,4.0,3.71809,Army of Darkness (1992)
1217,0089881,11645,4.0,4.13948,Ran (1985)
1220,0080455,525,3.5,3.79579,The Blues Brothers (1980)
1222,0093058,600,4.0,4.04652,Full Metal Jacket (1987)
1233,0082096,387,4.5,4.10803,Das Boot (1981)
1240,0088247,218,4.5,3.89937,The Terminator (1984)
1242,0097441,9665,4.0,3.92861,Glory (1989)
1246,0097165,207,4.0,3.93667,Dead Poets Society (1989)
1250,0050212,826,4.0,4.07734,The Bridge on the River Kwai (1957)
1258,0081505,694,4.0,4.033,The Shining (1980)
1266,0105695,33,4.0,3.98912,Unforgiven (1992)
1270,0088763,105,3.0,3.95455,Back to the Future (1985)
1274,0094625,149,5.0,3.92738,Akira (1988)
1282,0032455,756,4.0,3.68657,Fantasia (1940)
1291,0097576,89,4.5,3.98114,Indiana Jones and the Last Crusade (1989)
1320,0103644,8077,3.5,3.11782,Alien³ (1992)
1356,0117731,199,4.0,3.66275,Star Trek: First Contact (1996)
1359,0116705,9279,3.0,2.60709,Jingle All the Way (1996)
1367,0115433,11674,2.5,3.04498,101 Dalmatians (1996)
1370,0099423,1573,4.5,3.45283,Die Hard 2 (1990)
1377,0103776,364,3.5,3.14155,Batman Returns (1992)
1385,0105690,8845,3.0,3.12322,Under Siege (1992)
1387,0073195,578,4.0,3.78172,Jaws (1975)
1391,0116996,75,3.0,2.97678,Mars Attacks! (1996)
1407,0117571,4232,3.5,3.294,Scream (1996)
1408,0104691,9361,4.5,3.71033,The Last of the Mohicans (1992)
1438,0118928,9619,3.5,2.83373,Dante's Peak (1997)
1485,0119528,1624,3.5,3.24281,Liar Liar (1997)
1499,0118615,9360,4.0,2.09893,Anaconda (1997)
1517,0118655,816,4.0,3.39722,Austin Powers: International Man of Mystery (1997)
1527,0119116,18,4.5,3.77988,The Fifth Element (1997)
1544,0119567,330,3.5,3.01169,The Lost World: Jurassic Park (1997)
1552,0118880,1701,3.0,3.20903,Con Air (1997)
1556,0120179,1639,2.5,1.95931,Speed 2: Cruise Control (1997)
1562,0118688,415,3.0,2.19417,Batman & Robin (1997)
1566,0119282,11970,2.0,3.44933,Hercules (1997)
1569,0119738,8874,3.0,3.275,My Best Friend's Wedding (1997)
1573,0119094,754,2.5,3.32868,Face/Off (1997)
1580,0119654,607,4.0,3.59223,Men in Black (1997)
1584,0118884,686,3.5,3.69613,Contact (1997)
1586,0119173,4421,4.0,2.92879,G.I. Jane (1997)
1587,0082198,9387,3.5,3.2188,Conan the Barbarian (1982)
1588,0119190,10603,3.0,2.6917,George of the Jungle (1997)
1590,0119081,8413,3.5,3.01815,Event Horizon (1997)
1591,0120177,10336,3.5,2.64557,Spawn (1997)
1597,0118883,8834,4.0,3.33702,Conspiracy Theory (1997)
1608,0118571,9772,3.5,3.32486,Air Force One (1997)
1610,0099810,1669,4.0,3.86466,The Hunt for Red October (1990)
1619,0120102,978,3.5,3.44643,Seven Years in Tibet (1997)
1626,0119123,14289,2.5,2.4709,Fire Down Below (1997)
1644,0119345,3597,3.0,2.49622,I Know What You Did Last Summer (1997)
1645,0118971,1813,4.0,3.56154,The Devil's Advocate (1997)
1653,0119177,782,3.5,3.81027,Gattaca (1997)
1676,0120201,563,4.0,3.312,Starship Troopers (1997)
1682,0120382,37165,4.5,3.88458,The Truman Show (1998)
1687,0119395,4824,3.5,3.21357,The Jackal (1997)
1688,0118617,9444,3.5,3.49532,Anastasia (1997)
1690,0118583,8078,3.5,3.03468,Alien Resurrection (1997)
1702,0119137,9574,2.5,2.58287,Flubber (1997)
1704,0119217,489,4.0,4.10238,Good Will Hunting (1997)
1717,0120082,4233,3.0,2.75986,Scream 2 (1997)
1721,0120338,597,3.5,3.4272,Titanic (1997)
1722,0120347,714,3.5,3.22724,Tomorrow Never Dies (1997)
1726,0119925,9922,4.0,2.9733,The Postman (1997)
1732,0118715,115,3.5,3.98599,The Big Lebowski (1998)
1748,0118929,2666,3.5,3.80048,Dark City (1998)
1769,0120008,11702,3.0,3.09861,The Replacement Killers (1998)
1777,0120888,11003,3.0,3.38283,The Wedding Singer (1998)
1779,0120184,10153,4.0,2.89844,Sphere (1998)
1792,0120873,11808,4.0,3.26746,U.S. Marshals (1998)
1801,0120744,9313,3.5,3.12444,The Man in the Iron Mask (1998)
1805,0120890,617,3.0,3.19577,Wild Things (1998)
1831,0120738,2157,3.5,2.59918,Lost in Space (1998)
1833,0120749,8838,3.5,3.04441,Mercury Rising (1998)
1835,0120632,795,3.5,3.27631,City of Angels (1998)
1873,0119683,4415,4.0,3.71237,Les Misérables (1998)
1876,0120647,8656,3.5,2.96532,Deep Impact (1998)
1881,0120800,18937,2.5,2.89108,Quest for Camelot (1998)
1882,0120685,929,3.0,2.39327,Godzilla (1998)
1894,0120828,6068,3.0,2.87462,Six Days Seven Nights (1998)
1907,0120762,10674,3.0,3.74687,Mulan (1998)
1909,0120902,846,4.0,3.33036,The X Files (1998)
1911,0118998,3050,3.5,2.65659,Doctor Dolittle (1998)
1917,0120591,95,3.5,3.01064,Armageddon (1998)
1918,0122151,944,4.0,3.13861,Lethal Weapon 4 (1998)
1923,0129387,544,3.5,3.5143,There's Something About Mary (1998)
1949,0060665,874,4.5,4.09564,A Man for All Seasons (1966)
1954,0075148,1366,3.5,3.73746,Rocky (1976)
1965,0087995,13820,3.5,3.56816,Repo Man (1984)
1973,0101917,11284,2.5,2.33778,Freddy's Dead: The Final Nightmare (1991)
1974,0080761,4488,3.5,2.9192,Friday the 13th (1980)
1997,0070047,9552,3.5,3.74814,The Exorcist (1973)
2000,0093409,941,4.0,3.69371,Lethal Weapon (1987)
2001,0097733,942,4.0,3.32887,Lethal Weapon 2 (1989)
2002,0104714,943,4.0,3.21923,Lethal Weapon 3 (1992)
2003,0087363,927,1.5,3.29341,Gremlins (1984)
